Vardas         Pavarde        ND1  ND2  ND3  ND4  ND5  ND6  ND7  ND8  ND9  ND10 Egz.
Vardas37       Pavarde37      10   2    9    9    8    5    5    5    1    8    1
Vardas38       Pavarde38      4    5    9    9    8    6    3    5    6    4    8
Vardas39       Pavarde39      5    3    7    10   1    2    4    8    3    7    3
Vardas40       Pavarde40      10   2    2    10   7    8    4    5    10   4    4
Vardas41       Pavarde41      6    5    5    8    3    10   4    5    8    3    3
Vardas42       Pavarde42      2    3    3    2    3    7    2    9    9    10   10
Vardas43       Pavarde43      7    3    9    8    3    3    7    7    5    6    1
Vardas44       Pavarde44      6    4    5    2    3    1    3    9    3    10   1
Vardas45       Pavarde45      7    7    10   9    2    8    10   7    6    8    10
Vardas46       Pavarde46      3    1    8    3    10   10   1    7    5    1    6
Vardas47       Pavarde47      5    3    7    6    7    6    6    6    6    7    10
Vardas48       Pavarde48      5    5    9    2    2    7    6    10   5    2    9
Vardas49       Pavarde49      1    7    5    6    10   3    1    3    4    1    8
Vardas50       Pavarde50      4    8    10   5    6    9    1    2    4    3    1
Vardas51       Pavarde51      9    4    5    5    10   5    4    1    4    5    3
Vardas52       Pavarde52      10   7    1    6    10   4    1    8    3    2    1
Vardas53       Pavarde53      2    2    9    10   9    5    9    9    10   3    6
Vardas54       Pavarde54      3    3    3    4    10   10   4    7    9    8    10
Vardas55       Pavarde55      9    7    7    3    3    7    9    9    8    5    8
Vardas56       Pavarde56      10   10   5    9    10   9    7    7    8    7    2
Vardas57       Pavarde57      5    1    7    5    4    4    7    10   5    8    8
Vardas58       Pavarde58      3    4    2    8    7    7    6    3    8    5    6
Vardas59       Pavarde59      9    3    1    7    2    7    3    4    9    6    7
Vardas60       Pavarde60      5    5    5    1    3    8    9    9    5    3    1
Vardas61       Pavarde61      4    2    6    7    10   4    1    6    7    8    4
Vardas62       Pavarde62      10   5    4    8    1    6    2    7    7    1    9
Vardas63       Pavarde63      3    2    4    6    2    6    2    8    5    3    6
Vardas64       Pavarde64      9    5    4    4    10   9    3    9    3    1    5
Vardas65       Pavarde65      8    8    8    4    6    10   7    8    7    1    3
Vardas66       Pavarde66      2    2    8    8    10   10   3    10   2    9    3
Vardas67       Pavarde67      8    2    6    5    6    5    9    5    4    2    10
Vardas68       Pavarde68      8    6    7    6    7    3    9    8    4    10   10
Vardas69       Pavarde69      6    1    1    1    8    10   5    9    8    5    7
Vardas70       Pavarde70      3    2    2    4    1    10   2    4    1    6    6
Vardas71       Pavarde71      7    3    5    2    1    5    7    6    1    1    6
Vardas72       Pavarde72      1    1    8    7    10   8    6    5    3    2    6
Vardas73       Pavarde73      8    6    8    5    2    8    7    2    9    5    5
Vardas74       Pavarde74      3    7    6    2    4    2    3    7    2    6    1
Vardas75       Pavarde75      3    8    7    4    2    4    10   9    2    9    3
Vardas76       Pavarde76      8    6    8    3    10   8    8    10   2    7    1
Vardas77       Pavarde77      4    3    5    8    8    9    7    7    3    3    9
Vardas78       Pavarde78      6    3    7    3    1    3    8    1    6    10   8
Vardas79       Pavarde79      7    9    8    4    2    10   5    9    10   3    10
Vardas80       Pavarde80      7    6    5    9    1    2    7    1    8    1    7
Vardas81       Pavarde81      5    9    9    10   4    10   6    2    7    10   6
Vardas82       Pavarde82      5    1    1    3    2    1    10   9    4    1    9
Vardas83       Pavarde83      7    10   1    6    2    3    4    1    10   10   5
Vardas84       Pavarde84      6    9    7    6    1    1    8    2    1    3    7
Vardas85       Pavarde85      10   3    1    4    6    1    5    3    2    9    10
Vardas86       Pavarde86      10   5    1    10   1    3    8    4    3    1    10
Vardas87       Pavarde87      5    7    3    5    6    3    3    1    5    8    6
Vardas88       Pavarde88      10   4    1    10   6    4    9    2    2    2    3
Vardas89       Pavarde89      6    2    9    8    3    5    2    4    3    2    5
Vardas90       Pavarde90      7    6    7    8    2    8    4    6    8    9    5
Vardas91       Pavarde91      4    8    3    3    9    7    4    3    1    7    3
Vardas92       Pavarde92      10   4    5    8    4    6    8    5    10   7    9
Vardas93       Pavarde93      4    4    2    6    1    5    7    5    10   10   2
Vardas94       Pavarde94      8    9    2    4    3    8    1    1    7    10   7
Vardas95       Pavarde95      8    10   10   6    5    8    2    9    8    4    6
Vardas96       Pavarde96      8    8    1    2    9    10   7    8    9    2    5
Vardas97       Pavarde97      5    8    7    5    2    5    2    10   9    3    6
Vardas98       Pavarde98      1    7    8    2    4    7    2    8    9    7    10
Vardas99       Pavarde99      8    9    10   10   7    6    1    1    1    8    8
Vardas100      Pavarde100     3    7    9    8    8    1    3    9    4    9    8
Vardas101      Pavarde101     1    1    6    2    9    7    1    5    4    2    1
Vardas102      Pavarde102     8    7    10   2    6    10   5    3    1    4    1
Vardas103      Pavarde103     9    5    2    2    10   10   3    4    7    6    4
Vardas104      Pavarde104     10   6    6    9    3    8    3    5    8    8    8
Vardas105      Pavarde105     3    10   3    4    5    2    4    6    6    9    1
Vardas106      Pavarde106     7    4    6    1    5    2    2    4    7    2    7
Vardas107      Pavarde107     4    2    4    9    4    8    5    8    3    7    8
Vardas108      Pavarde108     4    5    5    2    3    1    7    4    1    7    1
Vardas109      Pavarde109     4    10   1    6    7    7    3    9    7    7    8
Vardas110      Pavarde110     10   3    4    7    6    7    8    9    7    6    6
Vardas111      Pavarde111     10   6    6    8    8    1    1    10   7    9    9
Vardas112      Pavarde112     3    4    3    2    10   3    1    9    9    2    6
Vardas113      Pavarde113     9    9    7    6    8    1    4    5    6    10   3
Vardas114      Pavarde114     8    1    10   9    6    7    4    3    7    2    5
Vardas115      Pavarde115     8    1    2    7    3    5    4    2    2    4    1
Vardas116      Pavarde116     7    2    5    8    3    9    1    8    7    9    10
Vardas117      Pavarde117     6    6    10   2    6    1    2    5    1    9    8
Vardas118      Pavarde118     8    4    1    4    7    4    9    9    7    7    2
Vardas119      Pavarde119     4    3    6    6    7    4    5    10   8    7    3
Vardas120      Pavarde120     6    9    1    1    6    5    8    5    2    5    5
Vardas121      Pavarde121     10   4    1    3    8    5    7    2    8    5    7
Vardas122      Pavarde122     5    8    5    4    7    9    2    3    6    4    3
Vardas123      Pavarde123     8    7    4    1    7    3    5    2    1    10   8
Vardas124      Pavarde124     9    6    3    8    8    6    2    1    5    6    4
Vardas125      Pavarde125     2    2    4    1    4    9    10   8    2    6    3
Vardas126      Pavarde126     5    1    3    2    2    3    10   3    6    7    7
Vardas127      Pavarde127     3    7    7    3    5    5    5    2    7    5    2
Vardas128      Pavarde128     7    10   6    5    7    6    8    4    9    3    10
Vardas129      Pavarde129     10   8    9    6    5    10   3    7    4    6    3
Vardas130      Pavarde130     9    8    5    8    5    2    3    9    7    1    9
Vardas131      Pavarde131     8    3    6    8    7    1    8    7    7    3    7
Vardas132      Pavarde132     8    3    3    6    7    4    9    6    7    2    6
Vardas133      Pavarde133     9    8    2    9    8    9    6    3    4    1    2
Vardas134      Pavarde134     9    1    1    8    1    8    9    1    6    6    7
Vardas135      Pavarde135     1    1    8    10   9    5    3    7    6    8    6
Vardas136      Pavarde136     8    10   4    8    10   2    8    10   10   1    2
Vardas137      Pavarde137     2    8    4    9    6    6    8    9    8    1    7
Vardas138      Pavarde138     4    10   10   9    7    5    8    6    9    5    3
Vardas139      Pavarde139     1    5    5    2    4    4    1    1    3    6    4
Vardas140      Pavarde140     4    7    5    7    2    5    4    9    8    1    4
Vardas141      Pavarde141     10   6    2    1    9    7    6    6    3    8    4
Vardas142      Pavarde142     9    9    7    10   6    2    1    6    1    10   4
Vardas143      Pavarde143     3    8    4    2    6    7    6    2    9    4    9
Vardas144      Pavarde144     8    1    2    7    6    7    2    9    6    7    4
Vardas145      Pavarde145     8    4    5    9    5    8    10   10   5    4    10
Vardas146      Pavarde146     1    10   10   1    9    3    4    6    7    9    1
Vardas147      Pavarde147     9    7    9    6    3    5    6    1    2    7    3
Vardas148      Pavarde148     10   4    10   2    10   7    10   2    5    10   7
Vardas149      Pavarde149     1    6    8    8    9    1    1    9    9    3    8
Vardas150      Pavarde150     1    4    4    1    10   3    7    8    9    6    2
Vardas151      Pavarde151     2    7    6    4    1    1    1    5    3    2    10
Vardas152      Pavarde152     3    8    3    2    10   2    9    6    5    8    4
Vardas153      Pavarde153     10   9    2    10   10   1    9    9    4    4    5
Vardas154      Pavarde154     1    5    5    8    2    10   6    2    10   5    10
Vardas155      Pavarde155     8    1    8    6    5    4    5    1    9    4    9
Vardas156      Pavarde156     6    5    2    7    6    6    10   4    4    7    5
Vardas157      Pavarde157     5    8    1    1    4    4    4    1    7    2    9
Vardas158      Pavarde158     6    10   4    10   5    5    4    10   4    1    10
Vardas159      Pavarde159     9    6    6    5    7    10   5    4    2    4    5
Vardas160      Pavarde160     3    9    1    5    4    6    2    8    10   8    1
Vardas161      Pavarde161     5    1    6    7    4    1    9    8    7    1    3
Vardas162      Pavarde162     3    2    1    6    3    1    1    9    7    5    1
Vardas163      Pavarde163     4    9    4    6    7    7    8    6    10   5    8
Vardas164      Pavarde164     4    10   10   2    1    2    7    3    8    7    5
Vardas165      Pavarde165     5    4    5    1    7    9    3    5    2    3    3
Vardas166      Pavarde166     5    4    9    8    7    5    6    2    1    5    7
Vardas167      Pavarde167     1    6    1    5    10   7    10   9    3    8    3
Vardas168      Pavarde168     1    6    8    6    2    7    10   3    6    6    9
Vardas169      Pavarde169     3    9    7    7    6    1    3    4    10   3    10
Vardas170      Pavarde170     7    6    6    5    8    1    5    1    6    10   7
Vardas171      Pavarde171     4    5    5    6    8    4    2    8    7    4    6
Vardas172      Pavarde172     8    5    5    5    8    2    7    6    10   10   3
Vardas173      Pavarde173     1    2    6    5    5    9    3    8    10   1    4
Vardas174      Pavarde174     3    9    5    3    5    3    2    1    4    2    5
Vardas175      Pavarde175     8    2    3    4    6    6    3    10   10   1    6
Vardas176      Pavarde176     3    8    2    6    10   6    7    6    6    5    10
Vardas177      Pavarde177     7    9    3    10   2    4    2    10   3    2    5
Vardas178      Pavarde178     7    9    10   1    1    4    7    4    6    6    9
Vardas179      Pavarde179     1    8    4    1    1    4    2    3    8    5    1
Vardas180      Pavarde180     5    9    10   3    8    8    5    6    6    2    7
Vardas181      Pavarde181     7    8    9    4    7    4    3    7    3    2    1
Vardas182      Pavarde182     10   7    2    2    6    10   4    1    4    7    9
Vardas183      Pavarde183     10   8    1    7    9    2    6    8    3    2    9
Vardas184      Pavarde184     5    7    7    6    9    1    8    7    1    5    8
Vardas185      Pavarde185     4    9    4    7    5    10   9    5    1    10   5
Vardas186      Pavarde186     2    2    7    5    2    1    6    10   5    4    2
Vardas187      Pavarde187     3    5    10   7    5    7    1    6    5    10   2
Vardas188      Pavarde188     1    3    8    1    1    8    1    9    6    8    10
Vardas189      Pavarde189     4    7    7    1    1    10   1    5    2    6    7
Vardas190      Pavarde190     4    9    3    8    9    8    8    3    10   6    4
Vardas191      Pavarde191     3    7    10   6    8    3    10   8    2    6    6
Vardas192      Pavarde192     9    6    6    3    4    3    5    3    3    8    5
Vardas193      Pavarde193     7    2    1    8    10   7    8    4    7    5    1
Vardas194      Pavarde194     5    8    1    10   4    5    1    3    8    4    7
Vardas195      Pavarde195     4    9    5    7    9    5    10   5    7    9    6
Vardas196      Pavarde196     1    9    6    3    2    2    10   10   8    4    2
Vardas197      Pavarde197     2    4    6    9    5    3    4    9    10   10   6
Vardas198      Pavarde198     6    6    10   10   8    4    1    4    8    5    4
Vardas199      Pavarde199     4    10   3    7    10   5    5    7    8    3    8
Vardas200      Pavarde200     8    8    10   4    5    5    5    9    8    7    1
Vardas201      Pavarde201     5    9    1    5    9    8    1    1    10   5    7
Vardas202      Pavarde202     3    8    7    6    7    1    8    10   7    10   2
Vardas203      Pavarde203     7    7    9    8    2    9    3    2    10   2    6
Vardas204      Pavarde204     10   8    9    9    2    10   3    7    5    9    6
Vardas205      Pavarde205     10   2    6    9    8    3    8    9    10   7    6
Vardas206      Pavarde206     6    6    3    7    9    9    8    9    5    5    5
Vardas207      Pavarde207     3    8    2    9    10   10   8    6    2    7    9
Vardas208      Pavarde208     2    9    4    7    10   4    10   6    1    6    9
Vardas209      Pavarde209     3    7    1    8    4    7    1    8    3    6    6
Vardas210      Pavarde210     4    10   3    7    3    8    3    2    9    6    2
Vardas211      Pavarde211     10   9    2    8    5    1    6    4    2    5    7
Vardas212      Pavarde212     1    8    2    9    7    4    7    5    8    10   3
Vardas213      Pavarde213     2    1    4    2    4    10   10   4    2    7    1
Vardas214      Pavarde214     5    10   10   7    5    1    10   5    1    1    4
Vardas215      Pavarde215     8    3    5    8    6    1    2    6    9    10   6
Vardas216      Pavarde216     1    5    3    5    6    10   8    10   5    1    5
Vardas217      Pavarde217     9    8    10   2    6    5    4    8    4    9    4
Vardas218      Pavarde218     7    2    1    10   7    8    5    2    4    5    7
Vardas219      Pavarde219     6    4    8    2    6    9    6    9    8    2    7
Vardas220      Pavarde220     9    4    2    4    4    5    9    1    1    10   9
Vardas221      Pavarde221     8    6    1    1    6    9    1    4    5    4    8
Vardas222      Pavarde222     4    4    7    6    7    2    8    2    5    9    6
Vardas223      Pavarde223     3    3    2    6    1    7    4    2    10   6    8
Vardas224      Pavarde224     7    8    3    3    8    2    5    7    3    8    4
Vardas225      Pavarde225     8    6    6    2    9    9    1    3    4    8    8
Vardas226      Pavarde226     6    7    4    2    8    7    8    6    7    8    2
Vardas227      Pavarde227     3    2    9    7    1    8    10   1    3    6    2
Vardas228      Pavarde228     1    5    6    6    7    5    1    3    7    7    5
Vardas229      Pavarde229     2    7    7    8    2    4    10   1    6    2    5
Vardas230      Pavarde230     6    8    7    10   5    10   6    6    7    2    5
Vardas231      Pavarde231     3    3    8    6    2    4    7    8    3    9    5
Vardas232      Pavarde232     7    2    10   9    4    8    1    6    6    1    3
Vardas233      Pavarde233     3    8    1    3    6    8    2    3    7    3    4
Vardas234      Pavarde234     9    3    4    4    2    1    7    8    3    9    7
Vardas235      Pavarde235     2    4    6    3    5    3    1    1    4    4    4
Vardas236      Pavarde236     4    7    2    5    2    2    6    9    4    3    6
Vardas237      Pavarde237     2    9    4    9    9    9    6    9    3    5    8
Vardas238      Pavarde238     9    10   8    1    4    5    6    3    8    5    6
Vardas239      Pavarde239     5    10   5    5    3    4    3    1    3    5    10
Vardas240      Pavarde240     9    4    10   5    2    7    10   7    9    2    1
Vardas241      Pavarde241     7    2    1    1    8    6    1    9    2    9    7
Vardas242      Pavarde242     3    10   8    9    1    3    8    4    8    5    7
Vardas243      Pavarde243     9    5    10   1    10   2    4    7    6    6    7
Vardas244      Pavarde244     9    6    4    4    4    8    10   9    7    3    3
Vardas245      Pavarde245     7    2    3    10   10   8    7    8    5    3    6
Vardas246      Pavarde246     3    3    4    5    6    2    3    9    5    3    4
Vardas247      Pavarde247     2    6    5    7    4    2    6    2    8    10   7
Vardas248      Pavarde248     3    7    6    3    6    5    8    9    6    9    3
Vardas249      Pavarde249     10   7    5    2    4    9    2    8    3    1    7
Vardas250      Pavarde250     10   9    10   4    7    8    7    3    9    5    5
Vardas251      Pavarde251     6    9    4    8    9    3    10   10   4    5    5
Vardas252      Pavarde252     2    10   10   6    10   2    7    4    2    2    10
Vardas253      Pavarde253     2    1    4    8    4    3    2    10   1    7    4
Vardas254      Pavarde254     8    8    6    8    3    3    2    6    3    10   5
Vardas255      Pavarde255     5    3    6    3    1    10   8    5    9    2    5
Vardas256      Pavarde256     5    10   7    6    6    7    5    10   5    7    8
Vardas257      Pavarde257     4    8    9    1    5    1    6    1    7    7    5
Vardas258      Pavarde258     6    5    1    4    8    4    6    6    3    2    5
Vardas259      Pavarde259     9    5    8    5    5    1    10   9    3    2    9
Vardas260      Pavarde260     3    3    9    10   9    4    6    9    6    5    1
Vardas261      Pavarde261     5    8    5    9    10   3    7    5    3    5    1
Vardas262      Pavarde262     1    1    9    10   6    5    2    7    7    3    7
Vardas263      Pavarde263     3    4    3    7    5    10   3    8    3    8    6
Vardas264      Pavarde264     10   4    9    10   5    4    2    8    2    10   7
Vardas265      Pavarde265     10   9    5    7    3    8    7    1    7    10   6
Vardas266      Pavarde266     10   5    2    1    9    8    7    9    6    1    5
Vardas267      Pavarde267     8    2    7    7    9    7    1    5    10   3    5
Vardas268      Pavarde268     10   3    10   9    4    6    2    4    9    3    2
Vardas269      Pavarde269     8    8    1    10   9    5    4    3    1    5    9
Vardas270      Pavarde270     2    8    8    8    6    8    7    6    5    4    9
Vardas271      Pavarde271     5    2    10   6    7    1    9    2    10   5    2
Vardas272      Pavarde272     8    5    7    3    10   9    2    2    5    6    3
Vardas273      Pavarde273     7    8    1    9    5    3    7    2    2    3    2
Vardas274      Pavarde274     3    1    7    1    6    8    8    8    8    9    6
Vardas275      Pavarde275     6    10   7    2    4    2    3    2    5    10   2
Vardas276      Pavarde276     2    2    5    8    8    1    1    4    1    8    4
Vardas277      Pavarde277     4    5    7    6    9    1    7    1    6    5    2
Vardas278      Pavarde278     9    5    5    3    4    4    7    3    1    9    8
Vardas279      Pavarde279     8    1    2    3    3    5    2    1    4    6    6
Vardas280      Pavarde280     9    6    5    3    2    4    7    5    3    3    3
Vardas281      Pavarde281     4    1    1    10   9    10   10   5    5    9    5
Vardas282      Pavarde282     6    2    10   10   3    5    10   6    5    2    4
Vardas283      Pavarde283     5    10   7    3    2    6    10   6    9    7    6
Vardas284      Pavarde284     2    7    2    1    9    10   3    1    9    8    6
Vardas285      Pavarde285     7    10   9    1    1    8    4    4    2    2    8
Vardas286      Pavarde286     1    5    10   1    7    1    8    1    5    4    1
Vardas287      Pavarde287     2    2    4    6    8    7    7    8    5    3    8
Vardas288      Pavarde288     7    2    6    10   1    2    9    3    8    4    4
Vardas289      Pavarde289     5    6    3    2    6    5    3    9    8    3    2
Vardas290      Pavarde290     7    5    10   8    6    3    2    4    4    5    6
Vardas291      Pavarde291     8    10   6    2    10   10   1    4    5    4    8
Vardas292      Pavarde292     9    4    3    1    5    2    7    5    3    10   8
Vardas293      Pavarde293     8    5    1    2    2    6    6    2    3    8    5
Vardas294      Pavarde294     7    7    5    5    10   10   6    8    8    2    8
Vardas295      Pavarde295     3    8    3    3    4    8    7    1    6    9    1
Vardas296      Pavarde296     5    1    9    7    8    4    8    2    8    5    10
Vardas297      Pavarde297     1    1    4    1    8    3    1    1    3    10   9
Vardas298      Pavarde298     1    4    2    1    5    10   4    2    9    3    1
Vardas299      Pavarde299     2    10   1    4    8    3    9    2    6    3    4
Vardas300      Pavarde300     8    5    2    6    7    9    3    10   5    1    5
Vardas301      Pavarde301     1    7    7    6    8    9    8    9    10   2    1
Vardas302      Pavarde302     1    2    3    10   6    3    2    8    6    8    1
Vardas303      Pavarde303     10   7    5    3    1    3    4    2    3    7    9
Vardas304      Pavarde304     9    10   3    2    7    1    7    3    2    6    1
Vardas305      Pavarde305     7    8    2    9    9    4    2    10   6    4    5
Vardas306      Pavarde306     3    6    8    10   6    2    7    10   4    2    8
Vardas307      Pavarde307     9    5    1    7    10   2    1    10   10   2    4
Vardas308      Pavarde308     5    6    3    8    5    4    1    10   10   9    4
Vardas309      Pavarde309     3    7    8    1    10   3    4    2    3    9    9
Vardas310      Pavarde310     4    3    5    3    3    4    1    1    8    2    10
Vardas311      Pavarde311     9    2    3    5    6    4    6    3    10   2    2
Vardas312      Pavarde312     2    10   3    10   5    6    8    2    6    2    10
Vardas313      Pavarde313     5    8    9    6    2    6    3    10   10   4    2
Vardas314      Pavarde314     2    9    6    2    1    2    7    2    8    10   8
Vardas315      Pavarde315     9    1    7    2    2    4    5    10   10   9    4
Vardas316      Pavarde316     2    6    6    2    1    7    9    6    2    5    4
Vardas317      Pavarde317     10   2    1    2    3    7    1    4    2    2    8
Vardas318      Pavarde318     7    2    8    10   7    10   1    1    10   9    4
Vardas319      Pavarde319     1    2    10   4    10   3    4    1    4    10   1
Vardas320      Pavarde320     4    5    2    2    5    7    5    9    7    6    4
Vardas321      Pavarde321     4    9    8    8    9    9    8    6    6    5    10
Vardas322      Pavarde322     10   1    7    6    4    9    9    7    2    6    1
Vardas323      Pavarde323     5    5    9    3    5    5    4    10   10   6    8
Vardas324      Pavarde324     10   2    5    1    10   1    6    1    8    7    8
Vardas325      Pavarde325     9    9    9    3    2    5    9    7    4    2    2
Vardas326      Pavarde326     3    3    4    9    9    10   6    6    7    6    9
Vardas327      Pavarde327     6    2    10   8    3    3    10   4    6    7    1
Vardas328      Pavarde328     2    5    5    9    3    5    1    4    7    8    7
Vardas329      Pavarde329     6    1    9    2    3    10   8    6    2    8    9
Vardas330      Pavarde330     6    8    4    1    8    8    10   3    3    9    7
Vardas331      Pavarde331     10   2    2    3    4    5    5    6    8    1    7
Vardas332      Pavarde332     2    10   6    1    9    2    6    1    3    6    8
Vardas333      Pavarde333     5    4    9    1    3    5    7    2    5    7    4
Vardas334      Pavarde334     2    1    5    9    6    8    3    5    2    4    10
Vardas335      Pavarde335     7    2    5    5    4    8    6    3    10   2    9
Vardas336      Pavarde336     3    4    2    2    9    10   1    7    6    7    9
Vardas337      Pavarde337     2    6    3    9    5    8    1    4    1    5    5
Vardas338      Pavarde338     6    2    9    5    7    10   10   2    6    1    1
Vardas339      Pavarde339     4    2    9    4    4    3    6    9    8    7    2
Vardas340      Pavarde340     4    10   9    9    2    3    9    5    3    7    6
Vardas341      Pavarde341     8    1    6    4    3    7    2    3    4    10   4
Vardas342      Pavarde342     1    6    2    2    10   6    1    8    1    4    8
Vardas343      Pavarde343     6    9    8    6    6    8    7    8    7    3    5
Vardas344      Pavarde344     8    8    9    9    5    7    5    9    9    6    1
Vardas345      Pavarde345     9    9    1    10   1    7    6    1    3    6    8
Vardas346      Pavarde346     3    9    6    2    9    7    9    8    3    9    7
Vardas347      Pavarde347     8    8    2    4    6    4    6    7    1    6    10
Vardas348      Pavarde348     7    10   9    6    7    5    2    9    10   9    4
Vardas349      Pavarde349     6    6    5    6    4    10   4    4    8    7    1
Vardas350      Pavarde350     2    4    7    1    6    7    9    7    6    3    7
Vardas351      Pavarde351     9    7    3    2    4    4    5    2    2    7    3
Vardas352      Pavarde352     1    2    2    2    5    10   10   8    9    6    5
Vardas353      Pavarde353     10   3    3    4    10   3    9    10   3    6    5
Vardas354      Pavarde354     6    5    6    6    9    1    9    2    10   7    9
Vardas355      Pavarde355     10   5    10   4    4    5    9    9    5    9    10
Vardas356      Pavarde356     3    8    1    7    6    1    4    5    3    8    3
Vardas357      Pavarde357     9    4    5    10   2    4    10   8    2    4    9
Vardas358      Pavarde358     10   4    6    9    9    1    3    10   7    3    7
Vardas359      Pavarde359     8    2    7    1    10   6    8    5    1    9    2
Vardas360      Pavarde360     5    7    4    5    3    5    3    4    5    10   2
Vardas361      Pavarde361     10   8    4    8    3    2    9    1    7    6    7
Vardas362      Pavarde362     1    4    9    6    2    10   6    9    4    8    7
Vardas363      Pavarde363     5    8    2    9    9    1    8    9    3    4    3
Vardas364      Pavarde364     5    4    7    5    9    3    2    5    7    5    6
Vardas365      Pavarde365     4    9    6    8    3    1    1    5    6    1    2
Vardas366      Pavarde366     10   3    6    7    7    9    1    2    5    8    5
Vardas367      Pavarde367     9    10   5    3    8    5    1    2    9    4    1
Vardas368      Pavarde368     1    10   7    9    10   8    9    1    9    2    7
Vardas369      Pavarde369     5    6    8    1    9    5    7    1    5    7    7
Vardas370      Pavarde370     7    7    8    3    4    4    9    5    7    4    7
Vardas371      Pavarde371     8    2    8    1    4    2    3    1    6    10   10
Vardas372      Pavarde372     6    1    9    9    7    1    2    5    10   2    5
Vardas373      Pavarde373     8    6    8    7    10   1    6    3    4    9    2
Vardas374      Pavarde374     9    3    2    9    2    10   2    1    4    3    9
Vardas375      Pavarde375     6    2    9    7    4    3    7    6    1    2    6
Vardas376      Pavarde376     5    1    7    9    7    7    2    7    10   9    7
Vardas377      Pavarde377     7    4    2    1    9    10   1    9    7    2    4
Vardas378      Pavarde378     3    9    9    9    8    7    10   4    9    6    2
Vardas379      Pavarde379     6    5    2    7    7    1    2    7    3    9    8
Vardas380      Pavarde380     4    5    1    1    8    1    4    10   1    9    9
Vardas381      Pavarde381     10   1    3    1    1    6    1    8    9    1    3
Vardas382      Pavarde382     7    9    7    5    5    10   9    1    1    1    8
Vardas383      Pavarde383     7    1    1    4    3    9    8    6    8    2    10
Vardas384      Pavarde384     9    2    1    5    3    10   2    2    10   1    5
Vardas385      Pavarde385     1    2    9    3    7    9    6    10   3    7    10
Vardas386      Pavarde386     5    10   10   1    6    9    7    5    2    9    1
Vardas387      Pavarde387     6    7    9    1    10   1    9    9    1    1    3
Vardas388      Pavarde388     8    10   7    8    9    3    8    8    9    1    5
Vardas389      Pavarde389     9    3    9    7    2    4    5    10   7    5    7
Vardas390      Pavarde390     8    6    5    7    9    3    10   6    1    4    7
Vardas391      Pavarde391     5    6    10   5    1    9    5    8    6    1    4
Vardas392      Pavarde392     8    8    7    9    3    9    1    3    10   10   2
Vardas393      Pavarde393     4    6    7    6    1    4    9    7    2    1    6
Vardas394      Pavarde394     7    7    7    3    7    3    3    1    10   1    9
Vardas395      Pavarde395     1    4    1    3    10   10   1    6    3    4    3
